slug,name,production_state,listing_category,exam_streams,course_groups,education_levels,exam_filter_version,logo_action,current_logo
"abvmu-cahet","ABVMU CAHET","active","Entrance","Medical","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/7974ac35d33421f299270a95.webp"
"abvmu-cnet","ABVMU CNET","active","Entrance","Medical | Nursing","Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/7974ac35d33421f299270a95.webp"
"anu-pgcet","Acharya Nagarjuna University Post Graduate Common Entrance Test","active","Entrance","General","Multiple Courses","PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/a2/a22b1056cbdbf8a7819dd93e08966da59edef387ad8c9c2fb56a9c9e9c66a6aa.webp"
"iai-acet","Actuarial Common Entrance Test","active","Entrance","Science","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/4036574d0e9b60410a880e7e.webp"
"aeee","AEEE","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/3498f605b727cbdfb79fbe0a.webp"
"afcat","AFCAT","active","Sarkari","Engineering | Medical | Aviation | Defence | Government","B.E. / B.Tech | Government Recruitment","UG | 12th | 10th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/73/7316ee188718c21dbc07a28620ec53b92088a19e1a8f780514acf0d8c9619485.webp"
"agniveervayu","Agniveervayu","active","Sarkari","Medical | Aviation | Defence | Government","Diploma/Polytechnic | Government Recruitment","UG | 12th","1","unresolved",""
"ap-agricet","AGRICET","active","Entrance","Agriculture","Diploma/Polytechnic | Agriculture","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/21dc29c965e8bd7f4a9acc75.webp"
"aiapget","AIAPGET","active","Entrance","Medical","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"aibe","AIBE XXI","active","Entrance","Law | Arts","LL.B.","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/d3b71c381647517054985df3.webp"
"aiims-bsc-nursing","AIIMS B.Sc. (Hons.) Nursing Entrance","active","Entrance","Medical | Nursing","B.Sc. | Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp"
"aiims-bsc-nursing-post-basic","AIIMS B.Sc. Nursing (Post-Basic) Entrance","active","Entrance","Medical | Nursing","B.Sc. | Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp"
"aiims-bsc-paramedical","AIIMS B.Sc. Paramedical Entrance","active","Entrance","Medical","B.Sc.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp"
"aiims-msc-nursing","AIIMS M.Sc. Nursing Entrance","active","Entrance","Medical | Nursing | Science","B.Sc. | M.Sc. | Nursing","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp"
"ailet","AILET","active","Entrance","Law","Law PG","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/b11ab4a1df56336b391defca.webp"
"aima-ugat","AIMA Under Graduate Aptitude Test","active","Entrance","Management","BBA/BMS","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/8b2c277b0c1419494158d6da.webp"
"air-force-common-admission-test","Air Force Common Admission Test","active","Sarkari","Medical | Science | Aviation | Education | Defence | Government","Government Recruitment","UG | 12th | 10th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/73/7316ee188718c21dbc07a28620ec53b92088a19e1a8f780514acf0d8c9619485.webp"
"amecet","Aircraft Maintenance Engineering Common Entrance Test","active","Entrance","Engineering | Aviation","B.E. / B.Tech","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/b9d2d6b412cfed840e2e51e7.webp"
"amulee","Aligarh Muslim University Law Entrance Exam","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f7d913d8033f60645940d53c.webp"
"aieed","All India Entrance Examination for Design","active","Entrance","Design","B.Des","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/67df086253828e8d5b581275.webp"
"allahabad-university-pgat","Allahabad University Post Graduate Admission Test","active","Entrance","General","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/c7da75d98df1dfb220401961.webp"
"act","American College Testing","active","Entrance","Science","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/d75071641448d928d70829b6.webp"
"amity-jee","AMITY JEE","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/d42ef28e2a5f52fa92b3a44c.webp"
"amu-ba-llb","AMU B.A. LL.B. Admission Test","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f7d913d8033f60645940d53c.webp"
"amu-bed","AMU B.Ed Admission Test","active","Entrance","Education","B.Ed","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f7d913d8033f60645940d53c.webp"
"amu-mba","AMU MBA Admission Test","active","Entrance","Management","MBA/PGDM","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f7d913d8033f60645940d53c.webp"
"amueee","AMUEEE","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f7d913d8033f60645940d53c.webp"
"ap-adcet","Andhra Pradesh Art and Design Common Entrance Test","active","Entrance","Design","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp"
"ap-rcet","Andhra Pradesh Research Common Entrance Test","active","Entrance","Science","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp"
"aprjc","Andhra Pradesh Residential Junior College Common Entrance Test","active","Entrance","General","Multiple Courses","UG | 12th | 10th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/24/2480759f16ea521616760ee5824fbbe2810cfc15dba4e14f72e0bf2914733ecb.webp"
"aprdc","Andhra Pradesh Road Development Corporation","active","Entrance","General","Multiple Courses","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/59/5950448493702d01e5df1055d65e5c0797fd86ee2967ad8025ae4d52f43f434d.webp"
"andhra-pradesh-state-eligibility-test","Andhra Pradesh State Eligibility Test","active","Entrance","General","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/e6a640aa7125cb1d2894af34.webp"
"aucet","Andhra University Common Entrance Test","active","Entrance","General","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/0f657a3c8a2deaee5d61d791.webp"
"ap-deecet","AP DEECET","active","Entrance","Education","D.El.Ed | Diploma/Polytechnic","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/a3bb7f3781b17551aa202f6a.webp"
"ap-eamcet","AP EAPCET","active","Entrance","Engineering | Medical | Pharmacy | Agriculture","B.E. / B.Tech | Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp"
"ap-ecet","AP ECET","active","Entrance","Engineering | Medical | Pharmacy","B.E. / B.Tech | B.Sc. | Diploma/Polytechnic","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/74e1ff7a3ac188fb34375b80.webp"
"ap-edcet","AP EDCET","active","Entrance","Education","B.Ed","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/4a61c4c6df6dcd9b2c78c75a.webp"
"ap-icet","AP ICET","active","Entrance","Management | IT and Software","MBA/PGDM | MCA","PG","1","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp"
"ap-lawcet","AP LAWCET","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/4a61c4c6df6dcd9b2c78c75a.webp"
"ap-pecet","AP PECET","active","Entrance","Education","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp"
"ap-pgcet","AP PGCET","active","Entrance","General","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp"
"ap-pgecet","AP PGECET","active","Entrance","Engineering | Medical | Pharmacy","B.E. / B.Tech | M.E./M.Tech","PG","1","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp"
"ap-pglcet","AP PGLCET","active","Entrance","Law","Law PG","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/4a61c4c6df6dcd9b2c78c75a.webp"
"ap-polycet","AP POLYCET","active","Entrance","Engineering","B.E. / B.Tech | Diploma/Polytechnic","10th","1","unresolved",""
"appsc-group-1","APPSC Group I","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/942b689911f09730fce17f79.webp"
"apset","APSET","active","Entrance","Education","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/e6a640aa7125cb1d2894af34.webp"
"aifd-wat","Army Institute of Fashion & Design Written Admission Test","active","Entrance","Design | Defence","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/43ead7c02d6286d757435a15.webp"
"ail-let","Army Institute of Law Entrance Test","active","Entrance","Law | Defence","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/720199def465dd1e6a813b81.webp"
"assam-cee","Assam CEE","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/e06ef5951dbe52cb9a127fbc.webp"
"assam-jlee","Assam JLEE","active","Entrance","Engineering","B.E. / B.Tech | Diploma/Polytechnic","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/e06ef5951dbe52cb9a127fbc.webp"
"assam-jmee","Assam JMEE","active","Entrance","Science | IT and Software","MCA","PG","1","official_source_reviewed","/exam-logos/official-v1/e06ef5951dbe52cb9a127fbc.webp"
"assam-pat","Assam PAT","active","Entrance","Engineering","B.E. / B.Tech | Diploma/Polytechnic","UG | PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/ce/ce5ba6dfdfdb3e730c06b300008a96a0f5770fa9134e3b9b50c08e2a37029a58.webp"
"atit","ATIT","active","Entrance","Engineering | Science","B.E. / B.Tech | B.Sc.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/705477457c0bb385b18cced1.webp"
"atma","ATMA","active","Entrance","Management","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/f0dddbdb30f1ce28a17dad8b.webp"
"bbau","Babasaheb Bhimrao Ambedkar University","active","Entrance","General","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/6709b116d39f43481a735ef8.webp"
"du-llb","Bachelor of Legislative Law or Legum Baccalaureus","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/fb0ba290ceac9d949ad13e89.webp"
"bhu-pet","Banaras Hindu University Postgraduate Entrance Test","active","Entrance","General","Multiple Courses","PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/d4/d46fc98ee89f5d830fc17e41eb07cd9758c440e7bcbc827708ef148bc0cc8995.webp"
"bhu-uet","Banaras Hindu University Undergraduate Entrance Test","active","Entrance","General","B.E. / B.Tech","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/c8/c8d499aba823381c72bb43df928c0b08ab4809163c81d3e1520be4d01fd828a6.webp"
"buat","Banasthali University Aptitude Test","active","Entrance","General","Multiple Courses","UG | PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/1b/1baf880000c4ce8da2d79f7178460188833ee16d2b6b010fa0d3756f83b048f7.webp"
"banda-university-of-agriculture-and-technology","Banda University of Agriculture and Technology","active","Entrance","Agriculture","Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0e5ef90a054449519d456bb0.webp"
"bcece","BCECE","active","Entrance","Engineering | Medical | Agriculture","B.E. / B.Tech | Agriculture","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/5381dd9ddc7a01c8b0667fef.webp"
"beee","BEEE","active","Entrance","Engineering | Science | Education","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/bc9ddf6be2164b18f5127aa6.webp"
"bet-biotechnology","BET","active","Entrance","Science","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"bharati-vidyapeeth-common-entrance-test","Bharati Vidyapeeth Common Entrance Test","active","Entrance","Education","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/6d2380baa1565df137ffc5a3.webp"
"bihar-bed-cet","Bihar B.Ed CET","active","Entrance","Education","B.Ed","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/d9a29f48302cd9d4a5b8b934.webp"
"bihar-deled","Bihar D.El.Ed JEE","active","Entrance","Engineering | Education","B.E. / B.Tech | D.El.Ed | Diploma/Polytechnic","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/4cf73e8d5a6d5c6de5575d32.webp"
"bihar-dcece","Bihar DCECE","active","Entrance","Engineering | Medical","Diploma/Polytechnic","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/5381dd9ddc7a01c8b0667fef.webp"
"bihar-dece-le","Bihar DECE (LE)","active","Entrance","Engineering","Diploma/Polytechnic","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/5381dd9ddc7a01c8b0667fef.webp"
"bihar-iticat","Bihar ITICAT","active","Entrance","General","Multiple Courses","10th","1","official_source_reviewed","/exam-logos/official-v1/5381dd9ddc7a01c8b0667fef.webp"
"bitsat-exam","Birla Institute of Technology and Science Admission Test - Session 1","active","Entrance","Engineering | Medical | Pharmacy | Science","B.E. / B.Tech | B.Pharm","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/91c9c64e7f0ca133fe777af7.webp"
"bitsat-exam-2","Birla Institute of Technology and Science Admission Test - Session 2","active","Entrance","Engineering | Science","B.E. / B.Tech","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/43/437df8f07a2deafb67860e7c61aaa179b109733d086b18cde1939d60e409da80.webp"
"bits-hd","BITS HD Test","active","Entrance","Engineering | Pharmacy","M.E./M.Tech | M.Pharm","PG","1","official_source_reviewed","/exam-logos/official-v1/91c9c64e7f0ca133fe777af7.webp"
"bitsat","BITSAT","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/91c9c64e7f0ca133fe777af7.webp"
"bpsc-cce","BPSC CCE","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/685a1a7b3919999130826ce0.webp"
"bvp-cet","BVP CET","active","Entrance","General","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/6d2380baa1565df137ffc5a3.webp"
"ca-final","CA Final","active","Entrance","General","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/649fbabed304fc3696925969.webp"
"ca-foundation","CA Foundation","active","Entrance","Commerce","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/649fbabed304fc3696925969.webp"
"ca-intermediate","CA Intermediate","active","Board","Commerce","School Board","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/649fbabed304fc3696925969.webp"
"common-admission-test","CAT","active","Entrance","Management","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/2307187e9f1f69c09e88adae.webp"
"CEED","CEED","active","Entrance","Design","M.Des","PG","1","official_source_reviewed","/exam-logos/official-v1/9f454a73d02b9777482daf5a.webp"
"ceeta-pg","CEETA-PG","active","Entrance","Engineering | Architecture","B.E. / B.Tech | M.E./M.Tech","PG","1","official_source_reviewed","/exam-logos/official-v1/ba534cd54a4aeb457bcee736.webp"
"cuet","Central Universities Common Entrance Test","active","Entrance","Arts","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"cg-pat","CG PAT","active","Entrance","Agriculture","Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp"
"cg-pet","CG PET","active","Entrance","Engineering | Agriculture","B.E. / B.Tech | Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp"
"cg-ppht","CG PPHT","active","Entrance","Medical | Pharmacy | Science","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp"
"cg-ppt","CG PPT","active","Entrance","Engineering","B.E. / B.Tech | Diploma/Polytechnic","10th","1","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp"
"cg-pre-bed","CG Pre B.Ed","active","Entrance","Education","B.Ed","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp"
"cg-pre-deled","CG Pre D.El.Ed","active","Entrance","Education","D.El.Ed | Diploma/Polytechnic","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp"
"ca-cpt","Chartered Accountant Common Proficiency Test","active","Entrance","Law | Arts | IT and Software | Commerce","B.E. / B.Tech | LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/649fbabed304fc3696925969.webp"
"chhattisgarh-pre-master-of-computer-applications","Chhattisgarh Pre Master of Computer Applications","active","Entrance","Management | Science | IT and Software","MCA","PG","1","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp"
"cg-pvpt","Chhattisgarh Pre Veterinary and Polytechnic Test","active","Entrance","Engineering","Diploma/Polytechnic","UG | PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/02/02d795cf673bed9c1893637e39fd754dcc8e6c5871a244bad37882b71a29068d.webp"
"cg-pb-b-sc-exam","Chhattisgarh Professional Examination Board Exam","active","Board","Medical | Nursing | Science | Education","B.Sc. | Nursing | School Board","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp"
"christ-entrance-test","CHRIST Entrance Test","active","Entrance","General","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/66de07d171870c82f8ef7d9a.webp"
"culee","Christ University Law Entrance Exam.","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/66de07d171870c82f8ef7d9a.webp"
"clat","CLAT","active","Entrance","Law","Law PG","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/af02e9822662cab790236390.webp"
"cma-final","CMA Final","active","Entrance","Management | Commerce","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/b36767e465c7eb57d33a23b5.webp"
"cma-foundation","CMA Foundation","active","Entrance","Management | Commerce","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/b36767e465c7eb57d33a23b5.webp"
"cma-intermediate","CMA Intermediate","active","Board","Management | Commerce","School Board","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/b36767e465c7eb57d33a23b5.webp"
"cmat","CMAT","active","Entrance","Management","MBA/PGDM","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"cmi-entrance","CMI Entrance Examination","active","Entrance","Science","M.Sc. | Ph.D.","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/9177eecf088d56805807afac.webp"
"cmruat","CMRUAT","active","Entrance","General","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/195f05e24a243556e29b8ccc.webp"
"tnpsc-ces","Combined Engineering Services Examination","active","Entrance","Engineering | Arts","B.E. / B.Tech","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/20bccd993c9904b728049791.webp"
"cpnet-ug","Combined Pharamcy and Nursing Entrance Exam","active","Entrance","Medical | Pharmacy | Nursing","Nursing","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/73/7381275d0f10b11cd96de2d3b84db1907b8f964308b79bd6605c64deb259b413.webp"
"comedk","COMEDK UGET","active","Entrance","Engineering | Medical","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/b389f3d095c2202e7f15fe26.webp"
"cee-ampai-wb","Common Entrance Examination Association of Minority Professional Academic Institutes WB","active","Entrance","Engineering | Medical | Pharmacy | Management | IT and Software","B.E. / B.Tech | M.E./M.Tech | MBA/PGDM | B.Pharm | M.Pharm | MCA","UG | PG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/d3/d31b398881d1561bdbe82c1b130c364094bfe53b36a446f9ba131f44ce65998a.webp"
"csir-ugc-net","Council of Scientific and Industrial Research National Eligibility Test","active","Entrance","Science","Ph.D.","PG","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"cs-executive","CS Executive","active","Entrance","Commerce","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/115cec1b7e0e6a7c0cb8c513.webp"
"cs-professional","CS Professional","active","Entrance","Commerce","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/115cec1b7e0e6a7c0cb8c513.webp"
"cseet-icsi","CSEET","active","Entrance","Commerce","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/115cec1b7e0e6a7c0cb8c513.webp"
"ctet","CTET","active","Sarkari","Education | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/77b9d5c97540c0cb626e8fe6.webp"
"cucet-chandigarh","CUCET","active","Entrance","General","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/9e4363e145f4696d21687755.webp"
"cuee","CUEE","active","Entrance","General","Multiple Courses","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/a5c1d639dfb3e1f823027b6e.webp"
"cuet-2026","CUET","active","Entrance","Science","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"cuet-pg","CUET PG","active","Entrance","General","Multiple Courses","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"cusat-cat","CUSAT CAT","active","Entrance","Engineering | Law | Management | Science","B.E. / B.Tech | M.E./M.Tech | MBA/PGDM | Ph.D. | LL.B.","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/3ab3bd2515bd8743b6c11c5e.webp"
"duet","Delhi University Entrance Test","active","Entrance","General","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/a0a76d637f00587bc9492e36.webp"
